         t	         T	         p	       rho	        H2	         H	         O	        O2	        OH	       H2O	       HO2	      H2O2	         C	        CH	       CH2	    CH2(S)	       CH3	       CH4	        CO	       CO2	       HCO	      CH2O	     CH2OH	      CH3O	     CH3OH	       C2H	      C2H2	      C2H3	      C2H4	      C2H5	      C2H6	      HCCO	     CH2CO	     HCCOH	         N	        NH	       NH2	       NH3	       NNH	        NO	       NO2	       N2O	       HNO	        CN	       HCN	      H2CN	      HCNN	      HCNO	      HOCN	      HNCO	       NCO	        N2	        AR	      C3H7	      C3H8	    CH2CHO	    CH3CHO	
0.0000e+00	1.1730e+03	1.0000e+05	2.7698e-01	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.5000e-01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.5000e-01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	
1.7364e-09	1.1730e+03	1.0000e+05	2.7698e-01	0.0000e+00	5.0727e-13	4.5558e-15	5.0000e-01	0.0000e+00	0.0000e+00	5.9077e-12	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	6.4150e-12	2.5000e-01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	6.6686e-21	0.0000e+00	0.0000e+00	1.3333e-20	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.5000e-01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	7.4955e-24	
7.3437e-08	1.1730e+03	1.0000e+05	2.7698e-01	1.0292e-13	3.9072e-11	2.4557e-13	5.0000e-01	5.5344e-14	5.2615e-16	2.3207e-10	5.1359e-16	1.5968e-36	1.5036e-24	9.9720e-25	1.2308e-24	2.7141e-10	2.5000e-01	4.3429e-24	2.7054e-26	2.7181e-23	9.2586e-16	2.6324e-27	1.7003e-16	4.0294e-20	4.7907e-55	1.9741e-38	4.9747e-36	4.2292e-25	4.5345e-24	2.4849e-27	8.7259e-53	5.1852e-39	7.9803e-58	9.9288e-28	6.5082e-33	3.5730e-53	0.0000e+00	1.5920e-19	1.0025e-27	2.3038e-38	5.6462e-19	1.5297e-36	1.1567e-45	1.8632e-30	6.7900e-39	1.6851e-33	0.0000e+00	0.0000e+00	0.0000e+00	1.2227e-46	2.5000e-01	0.0000e+00	6.7070e-40	1.0006e-41	1.0478e-37	4.0311e-38	
2.1982e-07	1.1730e+03	1.0000e+05	2.7698e-01	5.9807e-11	5.4795e-10	2.6833e-11	5.0000e-01	2.6182e-11	1.0279e-11	1.7303e-10	1.6779e-14	1.2473e-33	1.0395e-23	6.4990e-22	6.4053e-22	8.8716e-10	2.5000e-01	1.7054e-19	7.2811e-22	3.5291e-20	1.4295e-13	1.2590e-23	7.1131e-15	6.9686e-17	4.1345e-49	2.2312e-33	1.3508e-32	4.0725e-21	2.0342e-20	1.6385e-23	2.7068e-45	8.0357e-33	5.1118e-50	3.6327e-24	1.1204e-28	1.7549e-46	2.8222e-66	1.8634e-20	5.3666e-24	5.0178e-33	1.7122e-18	7.7528e-32	1.0574e-41	5.3561e-28	4.1275e-34	8.9422e-32	1.1622e-50	1.3927e-45	5.6300e-46	2.9668e-41	2.5000e-01	0.0000e+00	1.7200e-35	1.9064e-36	3.9323e-33	7.7350e-33	
5.8614e-07	1.1730e+03	1.0000e+05	2.7698e-01	4.2941e-10	1.3929e-09	1.5620e-10	5.0000e-01	1.5275e-10	1.4307e-10	1.1867e-10	5.5348e-14	1.4025e-31	3.3374e-23	8.3806e-20	9.7417e-20	2.8074e-09	2.5000e-01	1.0663e-17	1.9313e-19	3.4320e-19	1.2281e-12	5.3125e-21	2.8387e-14	7.0707e-16	4.5438e-45	6.1761e-31	1.8318e-30	1.8204e-19	4.3589e-19	4.8169e-22	1.9320e-41	4.0367e-30	5.8648e-45	4.0843e-23	1.5493e-27	1.0322e-39	1.6862e-56	9.5857e-21	8.4132e-23	1.7970e-31	4.5815e-18	1.1029e-30	2.2392e-39	4.5629e-27	2.4349e-31	3.3485e-31	8.4713e-44	4.4530e-40	1.8037e-40	3.5470e-38	2.5000e-01	0.0000e+00	8.9211e-33	1.9055e-33	9.6352e-31	3.1478e-28	
9.5247e-07	1.1730e+03	1.0000e+05	2.7698e-01	1.2658e-09	1.5051e-09	3.0359e-10	5.0000e-01	2.9489e-10	7.3451e-10	8.6656e-11	9.3769e-14	6.3025e-31	7.0011e-23	8.2390e-19	8.9056e-19	5.8757e-09	2.5000e-01	2.2962e-16	4.9088e-18	1.8263e-18	6.1964e-12	5.7643e-20	6.2559e-14	3.8347e-15	3.7236e-42	1.0914e-28	1.2986e-28	4.5248e-18	4.3656e-18	8.4958e-21	2.5021e-38	1.0233e-27	1.3259e-41	1.3553e-22	6.9697e-27	1.4169e-37	9.1583e-49	9.1611e-21	5.0940e-22	2.6244e-30	7.4528e-18	5.0287e-30	2.4907e-38	2.2920e-26	5.6137e-30	7.8296e-31	2.6654e-40	3.1755e-38	1.4032e-38	1.9913e-36	2.5000e-01	0.0000e+00	3.4608e-31	1.7994e-31	9.7621e-29	5.6155e-26	
1.5960e-06	1.1730e+03	1.0000e+05	2.7698e-01	2.6664e-09	1.7516e-09	4.6439e-10	5.0000e-01	4.4961e-10	1.8978e-09	8.6177e-11	1.5856e-13	1.5112e-30	1.3575e-22	3.8012e-18	4.0874e-18	1.1379e-08	2.5000e-01	1.2847e-15	2.8501e-17	5.4252e-18	1.8043e-11	2.7989e-19	1.2318e-13	1.1361e-14	1.6431e-39	4.9280e-27	5.7233e-27	3.1559e-17	2.5491e-17	5.6597e-20	9.5485e-36	5.6633e-26	6.1595e-39	2.6121e-22	1.6791e-26	2.5471e-36	4.2652e-46	9.2106e-21	1.4088e-21	1.0626e-29	1.2494e-17	1.2157e-29	2.0530e-37	6.7030e-26	5.0005e-29	1.7498e-30	2.1175e-38	4.3866e-37	2.7240e-37	2.6042e-35	2.5000e-01	0.0000e+00	9.6957e-30	5.2325e-30	5.2894e-27	1.5322e-24	
2.2395e-06	1.1730e+03	1.0000e+05	2.7698e-01	4.2891e-09	1.6623e-09	4.9063e-10	5.0000e-01	4.7519e-10	3.5719e-09	8.5501e-11	2.2026e-13	2.6882e-30	2.1314e-22	8.2545e-18	8.6072e-18	1.7852e-08	2.5000e-01	4.9666e-15	1.1149e-16	1.3564e-17	4.4671e-11	6.0131e-19	1.9506e-13	2.8492e-14	8.1498e-38	6.2981e-26	3.9592e-26	1.8605e-16	8.8479e-17	3.0026e-19	4.6196e-34	7.8891e-25	5.4044e-37	3.1801e-22	2.7815e-26	1.6625e-35	1.8575e-44	9.1894e-21	2.8281e-21	3.3678e-29	1.7536e-17	2.0184e-29	5.9567e-37	1.6724e-25	1.3646e-28	2.9973e-30	3.4900e-37	2.5715e-36	2.6068e-36	1.5128e-34	2.5000e-01	0.0000e+00	7.9223e-29	7.5990e-29	3.9929e-26	1.7694e-23	
3.4873e-06	1.1730e+03	1.0000e+05	2.7698e-01	7.2979e-09	1.6993e-09	5.4506e-10	5.0000e-01	5.2972e-10	6.6759e-09	8.5697e-11	3.3710e-13	4.2172e-30	3.5888e-22	1.4943e-17	1.5208e-17	3.0044e-08	2.5000e-01	1.3880e-14	3.0848e-16	3.2601e-17	1.0645e-10	1.0698e-18	3.3033e-13	6.8340e-14	1.5423e-36	5.7884e-25	3.3226e-25	7.6917e-16	2.8742e-16	1.1990e-18	8.6939e-33	7.3879e-24	1.0945e-35	3.8848e-22	4.5012e-26	6.8886e-35	2.6394e-43	9.1980e-21	5.4883e-21	9.0218e-29	2.7313e-17	3.2705e-29	1.8672e-36	4.0056e-25	2.9504e-28	5.1736e-30	2.3302e-36	1.0680e-35	1.4782e-35	6.2492e-34	2.5000e-01	0.0000e+00	5.8337e-28	6.3122e-28	3.4016e-25	1.0140e-22	
5.6566e-06	1.1730e+03	1.0000e+05	2.7698e-01	1.2606e-08	1.6597e-09	5.3657e-10	5.0000e-01	5.2756e-10	1.2434e-08	8.5497e-11	5.2213e-13	7.6781e-30	6.1836e-22	2.9234e-17	2.9271e-17	5.1752e-08	2.5000e-01	4.6810e-14	9.9866e-16	9.0652e-17	2.9527e-10	2.0580e-18	5.7152e-13	1.9071e-13	1.4607e-35	4.8973e-24	1.4252e-24	4.1879e-15	9.1343e-16	6.1755e-18	8.1890e-32	6.2780e-23	2.0095e-34	3.9411e-22	6.4085e-26	3.2412e-34	3.0899e-42	9.1889e-21	1.0510e-20	2.5977e-28	4.4311e-17	4.6604e-29	4.6821e-36	1.1178e-24	6.0410e-28	9.2879e-30	1.4401e-35	4.9444e-35	8.4661e-35	2.8749e-33	2.5000e-01	0.0000e+00	3.0068e-27	6.0898e-27	1.4619e-24	6.4211e-22	
