         t	         T	         p	       rho	        H2	        O2	       H2O	         H	         O	        OH	       HO2	      H2O2	        N2	
0.0000e+00	1.1730e+03	1.0000e+05	2.3081e-01	2.5000e-01	2.5000e-01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	
5.9885e-10	1.1730e+03	1.0000e+05	2.3081e-01	2.5000e-01	2.5000e-01	0.0000e+00	9.9905e-13	3.0541e-20	1.6349e-11	9.9904e-13	0.0000e+00	5.0000e-01	
4.7064e-08	1.1730e+03	1.0000e+05	2.3081e-01	2.5000e-01	2.5000e-01	2.8848e-10	4.0730e-10	6.1925e-12	1.0032e-09	3.2015e-11	3.1107e-16	5.0000e-01	
1.3017e-07	1.1730e+03	1.0000e+05	2.3081e-01	2.5000e-01	2.5000e-01	8.0441e-10	1.1339e-09	1.7269e-11	2.7686e-09	8.7523e-11	8.6722e-16	5.0000e-01	
2.1328e-07	1.1730e+03	1.0000e+05	2.3081e-01	2.5000e-01	2.5000e-01	2.6210e-09	3.2096e-09	8.2955e-11	3.2973e-09	3.9988e-11	2.1815e-15	5.0000e-01	
4.2936e-07	1.1730e+03	1.0000e+05	2.3081e-01	2.5000e-01	2.5000e-01	7.7292e-09	8.6125e-09	4.7519e-10	4.6575e-09	7.3941e-11	5.0294e-15	5.0000e-01	
6.4544e-07	1.1730e+03	1.0000e+05	2.3081e-01	2.5000e-01	2.5000e-01	1.5129e-08	1.6095e-08	1.1343e-09	4.1492e-09	5.3467e-11	8.7501e-15	5.0000e-01	
8.6152e-07	1.1730e+03	1.0000e+05	2.3081e-01	2.5000e-01	2.5000e-01	2.1879e-08	2.2535e-08	2.1162e-09	5.1655e-09	1.0171e-10	1.2940e-14	5.0000e-01	
1.0776e-06	1.1730e+03	1.0000e+05	2.3081e-01	2.5000e-01	2.5000e-01	2.9553e-08	2.9690e-08	3.3333e-09	6.0859e-09	1.2516e-10	1.8095e-14	5.0000e-01	
1.4541e-06	1.1730e+03	1.0000e+05	2.3081e-01	2.5000e-01	2.5000e-01	4.5297e-08	4.3965e-08	6.0232e-09	7.3790e-09	1.6100e-10	2.9110e-14	5.0000e-01	
2.0290e-06	1.1730e+03	1.0000e+05	2.3081e-01	2.5000e-01	2.5000e-01	7.7004e-08	7.2130e-08	1.1414e-08	9.9246e-09	2.2991e-10	5.3062e-14	5.0000e-01	
2.6039e-06	1.1730e+03	1.0000e+05	2.3081e-01	2.5000e-01	2.5000e-01	1.1866e-07	1.0827e-07	1.8759e-08	1.3153e-08	3.2003e-10	8.6452e-14	5.0000e-01	
3.1788e-06	1.1730e+03	1.0000e+05	2.3081e-01	2.5000e-01	2.5000e-01	1.7065e-07	1.5282e-07	2.8005e-08	1.7212e-08	4.3104e-10	1.2957e-13	5.0000e-01	
3.7538e-06	1.1730e+03	1.0000e+05	2.3081e-01	2.5000e-01	2.5000e-01	2.4244e-07	2.1390e-07	4.0475e-08	2.2620e-08	5.8335e-10	1.9105e-13	5.0000e-01	
4.3287e-06	1.1730e+03	1.0000e+05	2.3081e-01	2.5000e-01	2.5000e-01	3.3705e-07	2.9386e-07	5.6844e-08	2.9804e-08	7.8268e-10	2.7380e-13	5.0000e-01	
