         t	         T	         p	       rho	       CH4	       H2O	        H2	        CO	       CO2	        O2	        N2	
0.0000e+00	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	
2.1169e-16	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	
4.2337e-16	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	8.3465e-28	0.0000e+00	0.0000e+00	1.4227e-58	5.0000e-01	
9.2940e-16	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	6.0774e-27	8.3050e-56	0.0000e+00	7.2385e-50	5.0000e-01	
1.4354e-15	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	4.0555e-26	7.1726e-54	1.5143e-74	1.5662e-48	5.0000e-01	
2.6176e-15	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	3.0588e-25	1.2064e-50	1.0582e-69	1.2494e-46	5.0000e-01	
3.7998e-15	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	7.6508e-25	8.1093e-50	3.2596e-68	3.8024e-46	5.0000e-01	
4.9820e-15	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	1.8103e-24	6.1463e-49	5.0610e-67	1.7218e-45	5.0000e-01	
6.1642e-15	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	3.4797e-24	3.6632e-48	5.6959e-66	5.3647e-45	5.0000e-01	
8.4817e-15	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	8.6924e-24	2.8509e-47	9.6546e-65	2.1999e-44	5.0000e-01	
1.4570e-14	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	3.9504e-23	8.1362e-46	6.2570e-63	2.0674e-43	5.0000e-01	
2.4295e-14	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	1.8328e-22	6.5948e-44	1.2223e-60	2.6997e-42	5.0000e-01	
3.4019e-14	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	5.6133e-22	2.4913e-42	1.9347e-58	2.1773e-41	5.0000e-01	
4.3744e-14	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	1.2438e-21	2.5329e-41	9.0653e-57	8.8904e-41	5.0000e-01	
6.0163e-14	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	3.3957e-21	5.8069e-40	1.4233e-54	5.6034e-40	5.0000e-01	
7.6582e-14	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	6.7672e-21	2.1567e-39	1.0336e-53	1.4915e-39	5.0000e-01	
9.3001e-14	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	1.2297e-20	1.0201e-38	7.7284e-53	4.1623e-39	5.0000e-01	
1.1781e-13	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	2.5129e-20	5.4990e-38	7.2850e-52	1.3201e-38	5.0000e-01	
1.6946e-13	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	7.5705e-20	6.2195e-37	1.7299e-50	7.2295e-38	5.0000e-01	
2.2111e-13	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	1.7154e-19	1.2165e-35	1.6598e-48	3.3717e-37	5.0000e-01	
2.7276e-13	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	3.2643e-19	3.8423e-35	8.7937e-48	8.4953e-37	5.0000e-01	
3.2441e-13	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	5.5863e-19	1.4814e-34	5.1431e-47	2.0487e-36	5.0000e-01	
4.0343e-13	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	1.1024e-18	8.8981e-34	7.7110e-46	6.2030e-36	5.0000e-01	
4.8245e-13	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	1.9278e-18	2.7301e-33	3.2891e-45	1.4326e-35	5.0000e-01	
5.6147e-13	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	3.1112e-18	8.6736e-33	1.6328e-44	3.0354e-35	5.0000e-01	
6.4049e-13	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	4.7236e-18	2.2891e-32	6.5051e-44	5.7730e-35	5.0000e-01	
7.6790e-13	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	8.4266e-18	8.1880e-32	3.7229e-43	1.3833e-34	5.0000e-01	
8.9530e-13	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	1.3799e-17	2.5776e-31	2.3023e-42	2.8913e-34	5.0000e-01	
1.0227e-12	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	2.1225e-17	6.2788e-31	7.2273e-42	5.4401e-34	5.0000e-01	
1.1501e-12	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	3.1101e-17	1.4309e-30	2.3592e-41	9.4898e-34	5.0000e-01	
1.2775e-12	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	4.3856e-17	2.9516e-30	6.6554e-41	1.5562e-33	5.0000e-01	
1.4049e-12	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	5.9938e-17	5.6317e-30	1.6801e-40	2.4277e-33	5.0000e-01	
1.5323e-12	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	7.9815e-17	1.0091e-29	3.8771e-40	3.6346e-33	5.0000e-01	
1.7991e-12	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	1.3589e-16	2.9305e-29	1.8560e-39	7.6118e-33	5.0000e-01	
2.0658e-12	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	2.1545e-16	7.2042e-29	6.8122e-39	1.4277e-32	5.0000e-01	
2.3325e-12	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	3.2355e-16	1.5445e-28	1.9030e-38	2.4653e-32	5.0000e-01	
2.5993e-12	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	4.6525e-16	3.0680e-28	5.2458e-38	3.9870e-32	5.0000e-01	
2.8660e-12	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	6.4596e-16	5.6288e-28	1.2703e-37	6.1204e-32	5.0000e-01	
3.2736e-12	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	1.0101e-15	1.2613e-27	4.1326e-37	1.0879e-31	5.0000e-01	
