         t	         T	      (NI)	     H(NI)	     O(NI)	   CH4(NI)	   H2O(NI)	   CO2(NI)	    CO(NI)	    OH(NI)	     C(NI)	   HCO(NI)	    CH(NI)	   CH3(NI)	   CH2(NI)	
0.0000e+00	1.0732e+03	6.0000e-01	0.0000e+00	0.0000e+00	0.0000e+00	4.0000e-01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	
2.1169e-16	1.0732e+03	6.0000e-01	1.0489e-07	0.0000e+00	3.1843e-10	4.0000e-01	0.0000e+00	0.0000e+00	1.0489e-07	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.4731e-19	
4.2337e-16	1.0732e+03	6.0001e-01	2.0981e-07	2.2106e-11	4.9988e-10	3.9999e-01	0.0000e+00	0.0000e+00	2.0976e-07	5.8716e-25	0.0000e+00	3.8626e-22	9.7112e-15	1.6473e-18	
9.2940e-16	1.0732e+03	6.0001e-01	4.6062e-07	8.5999e-11	9.1508e-10	3.9998e-01	0.0000e+00	1.2087e-41	4.6045e-07	5.0545e-24	3.2914e-40	2.6703e-21	3.4238e-14	8.5999e-18	
1.4354e-15	1.0732e+03	6.0002e-01	7.1154e-07	2.6513e-10	9.5640e-10	3.9998e-01	5.3942e-61	6.3715e-40	7.1101e-07	5.8546e-23	1.2478e-38	1.9872e-20	8.5254e-14	3.9065e-17	
2.6176e-15	1.0732e+03	6.0004e-01	1.2979e-06	8.7618e-10	1.1742e-09	3.9996e-01	1.6119e-56	4.6778e-37	1.2962e-06	1.2160e-21	4.2055e-36	1.9330e-19	1.9577e-13	1.8216e-16	
3.7998e-15	1.0732e+03	6.0006e-01	1.8846e-06	1.8049e-09	9.2940e-10	3.9994e-01	4.9692e-55	3.1480e-36	1.8810e-06	3.3753e-21	2.0891e-35	5.0121e-19	3.3901e-13	4.1492e-16	
4.9820e-15	1.0732e+03	6.0008e-01	2.4717e-06	3.0904e-09	1.0510e-09	3.9992e-01	7.0541e-54	1.9807e-35	2.4655e-06	1.1761e-20	1.1695e-34	1.3098e-18	4.5612e-13	7.8684e-16	
6.1642e-15	1.0732e+03	6.0010e-01	3.0590e-06	4.7157e-09	1.1272e-09	3.9990e-01	7.6726e-53	1.1222e-34	3.0496e-06	2.9715e-20	5.3544e-34	2.6781e-18	5.7636e-13	1.2738e-15	
8.4817e-15	1.0732e+03	6.0013e-01	4.2115e-06	8.8955e-09	1.1444e-09	3.9986e-01	1.2575e-51	7.7799e-34	4.1937e-06	9.9343e-20	3.0137e-33	7.1110e-18	8.2112e-13	2.5651e-15	
1.4570e-14	1.0732e+03	6.0023e-01	7.2451e-06	2.6166e-08	1.2337e-09	3.9975e-01	4.5765e-50	1.4091e-32	7.1928e-06	7.0993e-19	3.9474e-32	3.4703e-17	1.4590e-12	8.1202e-15	
