         t	         T	         p	       rho	        H2	         H	         O	        O2	        OH	       H2O	       HO2	      H2O2	         C	        CH	       CH2	    CH2(S)	       CH3	       CH4	        CO	       CO2	       HCO	      CH2O	     CH2OH	      CH3O	     CH3OH	       C2H	      C2H2	      C2H3	      C2H4	      C2H5	      C2H6	      HCCO	     CH2CO	     HCCOH	         N	        NH	       NH2	       NH3	       NNH	        NO	       NO2	       N2O	       HNO	        CN	       HCN	      H2CN	      HCNN	      HCNO	      HOCN	      HNCO	       NCO	        N2	        AR	      C3H7	      C3H8	    CH2CHO	    CH3CHO	
0.0000e+00	1.1732e+03	1.0000e+05	2.7694e-01	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.5000e-01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.5000e-01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	
6.6149e-10	1.1732e+03	1.0000e+05	2.7694e-01	0.0000e+00	1.9424e-13	1.7464e-15	5.0000e-01	0.0000e+00	0.0000e+00	2.2572e-12	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.4515e-12	2.5000e-01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.5559e-21	0.0000e+00	0.0000e+00	5.1041e-21	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.5000e-01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.9787e-24	
3.7453e-08	1.1732e+03	1.0000e+05	2.7694e-01	1.4668e-14	1.4608e-11	1.0640e-13	5.0000e-01	8.0075e-15	2.9008e-17	1.2417e-10	1.0485e-16	7.7830e-38	4.1310e-25	1.7373e-25	8.2353e-26	1.3882e-10	2.5000e-01	1.6688e-25	1.7954e-27	2.1605e-24	1.7938e-16	5.9279e-29	3.4380e-17	3.1059e-21	1.8135e-57	3.0959e-40	2.0364e-37	4.2631e-26	3.3868e-25	1.8410e-28	9.6225e-56	3.1307e-41	7.0393e-61	1.6503e-28	3.8814e-34	1.4826e-55	0.0000e+00	1.1182e-19	1.6556e-28	1.4425e-39	2.8914e-19	4.3456e-38	2.2281e-47	1.9522e-31	1.7749e-40	1.8906e-34	0.0000e+00	0.0000e+00	0.0000e+00	1.2631e-48	2.5000e-01	0.0000e+00	8.0994e-42	1.0879e-43	1.6587e-39	4.3963e-40	
9.7168e-08	1.1732e+03	1.0000e+05	2.7694e-01	1.2143e-11	2.1700e-10	6.0308e-12	5.0000e-01	5.7944e-12	1.1675e-12	1.2461e-10	6.0080e-15	1.0714e-34	4.2951e-24	8.6864e-23	8.7440e-23	3.7399e-10	2.5000e-01	1.5246e-20	4.9933e-23	6.2995e-21	3.0017e-14	8.6821e-25	2.3487e-15	1.1806e-17	8.8755e-51	9.3842e-35	1.1081e-33	2.7927e-22	2.5513e-21	1.7263e-24	2.1791e-47	2.5617e-34	3.2042e-52	4.6425e-25	1.2484e-29	2.1096e-48	7.4568e-70	1.8867e-20	5.7792e-25	2.7795e-34	7.5846e-19	8.2465e-33	7.1892e-43	1.1320e-28	1.5155e-35	3.1811e-32	9.7608e-53	9.3512e-48	3.7789e-48	1.0342e-42	2.5000e-01	0.0000e+00	7.3836e-37	4.6489e-38	2.4402e-34	1.8804e-34	
2.1032e-07	1.1732e+03	1.0000e+05	2.7694e-01	6.9836e-11	5.6228e-10	3.1300e-11	5.0000e-01	3.0651e-11	1.1837e-11	1.1081e-10	1.7718e-14	1.8263e-32	1.0293e-23	6.2135e-21	8.4725e-21	8.6689e-10	2.5000e-01	4.1372e-19	5.8744e-21	4.1023e-20	1.6306e-13	3.6137e-22	7.6794e-15	8.0971e-17	3.7005e-47	8.4245e-33	6.0580e-32	5.7099e-21	3.1953e-20	2.4854e-23	1.1605e-43	3.7928e-32	1.8778e-47	4.2611e-24	1.2981e-28	8.1249e-42	1.4547e-59	9.7647e-21	6.1322e-24	5.5096e-33	1.6486e-18	8.9541e-32	1.8579e-40	6.1501e-28	8.0838e-33	9.5029e-32	4.1542e-46	7.0290e-42	2.8420e-42	7.9113e-40	2.5000e-01	0.0000e+00	3.5405e-34	3.3476e-35	2.2011e-32	2.9919e-30	
4.3466e-07	1.1732e+03	1.0000e+05	2.7694e-01	4.2007e-10	8.8994e-10	1.2920e-10	5.0000e-01	1.2594e-10	1.8700e-10	8.1279e-11	4.1505e-14	1.8640e-31	2.7593e-23	2.1552e-19	2.4111e-19	2.3088e-09	2.5000e-01	3.7869e-17	8.0277e-19	4.3263e-19	1.4970e-12	1.5207e-20	2.3763e-14	8.9831e-16	1.0768e-42	1.3110e-29	2.5269e-29	6.0722e-19	9.3755e-19	1.3292e-21	6.8443e-39	1.1832e-28	2.4073e-42	4.4676e-23	1.8603e-27	1.7842e-38	1.7685e-49	9.0646e-21	1.1966e-22	3.9304e-31	3.4149e-18	1.3323e-30	6.1850e-39	5.5786e-27	1.2697e-30	2.9252e-31	4.2619e-41	4.6619e-39	2.0751e-39	2.9512e-37	2.5000e-01	0.0000e+00	8.4088e-32	2.7504e-32	1.8304e-29	8.5404e-27	
6.5899e-07	1.1732e+03	1.0000e+05	2.7694e-01	7.2313e-10	1.2568e-09	2.1241e-10	5.0000e-01	2.0687e-10	3.4173e-10	8.4394e-11	6.4227e-14	3.1160e-31	4.3950e-23	5.1104e-19	5.7443e-19	3.6726e-09	2.5000e-01	8.9870e-17	1.9284e-18	7.8430e-19	2.6871e-12	3.7571e-20	3.8501e-14	1.6261e-15	6.1606e-41	1.3997e-28	2.7255e-28	1.4822e-18	2.2652e-18	3.2328e-21	3.6067e-37	1.4245e-27	1.4242e-40	7.9327e-23	3.4075e-27	1.0014e-37	8.7694e-48	9.1526e-21	2.2107e-22	8.1388e-31	5.1795e-18	2.4438e-30	1.9253e-38	1.0021e-26	4.7070e-30	4.8632e-31	5.8508e-40	1.9675e-38	1.0577e-38	1.1874e-36	2.5000e-01	0.0000e+00	5.9820e-31	1.9320e-31	2.2200e-28	6.1196e-26	
1.1314e-06	1.1732e+03	1.0000e+05	2.7694e-01	1.6181e-09	1.6439e-09	3.7661e-10	5.0000e-01	3.6536e-10	9.6167e-10	8.5621e-11	1.1237e-13	8.6602e-31	8.6757e-23	1.6585e-18	1.8011e-18	7.2389e-09	2.5000e-01	3.9598e-16	8.7812e-18	2.3037e-18	7.7587e-12	1.2094e-19	7.7542e-14	4.8067e-15	1.5949e-39	8.9906e-28	1.3324e-27	7.5183e-18	8.5901e-18	1.4836e-20	8.6499e-36	9.6704e-27	3.9425e-39	1.8084e-22	9.2261e-27	5.3655e-37	1.3331e-46	9.2393e-21	6.6660e-22	3.2908e-30	8.8972e-18	6.6477e-30	6.5647e-38	2.8934e-26	1.7064e-29	1.0355e-30	4.2809e-39	9.9437e-38	5.9403e-38	5.9566e-36	2.5000e-01	0.0000e+00	2.9939e-30	1.2463e-30	1.1653e-27	4.0734e-25	
1.6038e-06	1.1732e+03	1.0000e+05	2.7694e-01	2.8561e-09	1.5121e-09	4.3921e-10	5.0000e-01	4.2457e-10	2.1490e-09	8.4521e-11	1.5965e-13	1.8309e-30	1.4383e-22	5.1477e-18	5.4910e-18	1.1988e-08	2.5000e-01	1.7808e-15	4.0508e-17	6.1564e-18	2.0367e-11	3.7968e-19	1.3025e-13	1.2860e-14	1.6012e-38	9.1543e-27	1.0421e-26	4.4581e-17	3.6520e-17	8.0196e-20	8.4993e-35	1.0907e-25	6.0141e-38	2.7501e-22	1.9065e-26	4.1183e-36	1.9536e-45	9.2077e-21	1.6241e-21	1.2457e-29	1.2617e-17	1.3790e-29	2.7993e-37	7.6312e-26	7.4800e-29	1.9707e-30	5.3553e-38	6.5783e-37	5.0629e-37	3.8852e-35	2.5000e-01	0.0000e+00	2.2209e-29	1.2116e-29	1.0122e-26	3.5863e-24	
2.8985e-06	1.1732e+03	1.0000e+05	2.7694e-01	5.9043e-09	1.6756e-09	5.2051e-10	5.0000e-01	5.0515e-10	5.2368e-09	8.5586e-11	2.8257e-13	2.4068e-30	2.9297e-22	1.0239e-17	1.0311e-17	2.4400e-08	2.5000e-01	8.9877e-15	1.9909e-16	2.3642e-17	7.7417e-11	7.2731e-19	2.6795e-13	4.9637e-14	1.1615e-36	4.0374e-25	1.9101e-25	7.2939e-16	2.7616e-16	1.1385e-18	6.1618e-33	5.3079e-24	1.0535e-35	3.6001e-22	3.6725e-26	7.1708e-35	3.7742e-43	9.2456e-21	4.2672e-21	6.4990e-29	2.2810e-17	2.6620e-29	1.1209e-36	2.9375e-25	2.6156e-28	4.0218e-30	3.0817e-36	7.0620e-36	1.6692e-35	4.1177e-34	2.5000e-01	0.0000e+00	8.5195e-28	1.0578e-27	2.0146e-25	1.0106e-22	
