         t	         T	         p	       rho	        H2	        O2	       H2O	         H	         O	        OH	       HO2	      H2O2	        N2	
0.0000e+00	1.0732e+03	1.0000e+05	2.5228e-01	2.5000e-01	2.5000e-01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	
7.7981e-10	1.0732e+03	1.0000e+05	2.5228e-01	2.5000e-01	2.5000e-01	0.0000e+00	1.5159e-13	9.1687e-22	3.4556e-12	1.5159e-13	0.0000e+00	5.0000e-01	
6.3562e-08	1.0732e+03	1.0000e+05	2.5228e-01	2.5000e-01	2.5000e-01	6.9746e-11	8.3810e-11	1.0499e-12	2.1307e-10	9.5975e-12	5.9281e-17	5.0000e-01	
1.8474e-07	1.0732e+03	1.0000e+05	2.5228e-01	2.5000e-01	2.5000e-01	2.0435e-10	2.4527e-10	3.0765e-12	6.1773e-10	2.7831e-11	1.7368e-16	5.0000e-01	
3.0593e-07	1.0732e+03	1.0000e+05	2.5228e-01	2.5000e-01	2.5000e-01	6.7890e-10	7.4731e-10	1.5846e-11	6.9497e-10	3.4671e-11	5.9787e-16	5.0000e-01	
6.5058e-07	1.0732e+03	1.0000e+05	2.5228e-01	2.5000e-01	2.5000e-01	2.0805e-09	2.1604e-09	1.0826e-10	9.5765e-10	6.4745e-11	2.3045e-15	5.0000e-01	
9.9523e-07	1.0732e+03	1.0000e+05	2.5228e-01	2.5000e-01	2.5000e-01	4.1312e-09	4.1665e-09	2.6834e-10	6.7983e-10	8.3291e-11	5.0146e-15	5.0000e-01	
1.3399e-06	1.0732e+03	1.0000e+05	2.5228e-01	2.5000e-01	2.5000e-01	5.8472e-09	5.7418e-09	5.0246e-10	9.6040e-10	1.2382e-10	8.6930e-15	5.0000e-01	
1.6845e-06	1.0732e+03	1.0000e+05	2.5228e-01	2.5000e-01	2.5000e-01	7.8327e-09	7.5368e-09	7.8842e-10	1.1801e-09	1.6241e-10	1.3588e-14	5.0000e-01	
2.3354e-06	1.0732e+03	1.0000e+05	2.5228e-01	2.5000e-01	2.5000e-01	1.2293e-08	1.1486e-08	1.4768e-09	1.4767e-09	2.3842e-10	2.6150e-14	5.0000e-01	
2.9864e-06	1.0732e+03	1.0000e+05	2.5228e-01	2.5000e-01	2.5000e-01	1.8026e-08	1.6533e-08	2.3242e-09	1.7968e-09	3.3022e-10	4.5057e-14	5.0000e-01	
3.6373e-06	1.0732e+03	1.0000e+05	2.5228e-01	2.5000e-01	2.5000e-01	2.4618e-08	2.2222e-08	3.3753e-09	2.1885e-09	4.3577e-10	6.8895e-14	5.0000e-01	
4.7261e-06	1.0732e+03	1.0000e+05	2.5228e-01	2.5000e-01	2.5000e-01	3.9755e-08	3.5197e-08	5.7180e-09	3.0413e-09	6.7612e-10	1.2993e-13	5.0000e-01	
5.8149e-06	1.0732e+03	1.0000e+05	2.5228e-01	2.5000e-01	2.5000e-01	5.9599e-08	5.2077e-08	8.7939e-09	4.1701e-09	9.8878e-10	2.1561e-13	5.0000e-01	
6.9037e-06	1.0732e+03	1.0000e+05	2.5228e-01	2.5000e-01	2.5000e-01	8.8026e-08	7.6099e-08	1.3174e-08	5.7647e-09	1.4341e-09	3.4630e-13	5.0000e-01	
7.9925e-06	1.0732e+03	1.0000e+05	2.5228e-01	2.5000e-01	2.5000e-01	1.2707e-07	1.0896e-07	1.9172e-08	7.9743e-09	2.0425e-09	5.3238e-13	5.0000e-01	
9.0813e-06	1.0732e+03	1.0000e+05	2.5228e-01	2.5000e-01	2.5000e-01	1.8183e-07	1.5490e-07	2.7558e-08	1.1040e-08	2.8934e-09	8.0053e-13	5.0000e-01	
1.0170e-05	1.0732e+03	1.0000e+05	2.5228e-01	2.5000e-01	2.5000e-01	2.5462e-07	2.1586e-07	3.8676e-08	1.5125e-08	4.0225e-09	1.1626e-12	5.0000e-01	
1.1259e-05	1.0732e+03	1.0000e+05	2.5228e-01	2.5000e-01	2.5000e-01	3.5616e-07	3.0076e-07	5.4170e-08	2.0768e-08	5.5954e-09	1.6755e-12	5.0000e-01	
