         t	         T	         p	       rho	       CH4	       H2O	        H2	        CO	       CO2	        O2	        N2	
0.0000e+00	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	
6.6941e-16	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	
3.5140e-15	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	7.7918e-25	1.1878e-55	0.0000e+00	9.8832e-49	5.0000e-01	
8.7886e-15	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	2.2121e-24	1.9573e-52	3.2657e-75	5.5596e-47	5.0000e-01	
1.4063e-14	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	1.7115e-23	2.4576e-51	1.7360e-71	5.2451e-46	5.0000e-01	
2.5152e-14	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	1.3374e-22	3.4599e-48	2.1544e-67	4.8545e-44	5.0000e-01	
3.6242e-14	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	3.3223e-22	2.5453e-47	8.0047e-66	1.4838e-43	5.0000e-01	
4.7331e-14	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	7.7555e-22	1.9239e-46	1.3399e-64	6.6419e-43	5.0000e-01	
5.8420e-14	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	1.4798e-21	1.1385e-45	1.5047e-63	2.0416e-42	5.0000e-01	
8.0328e-14	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	3.6905e-21	8.8805e-45	2.5439e-62	8.3519e-42	5.0000e-01	
1.3486e-13	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	1.5848e-20	2.3926e-43	1.5491e-60	7.3602e-41	5.0000e-01	
2.2947e-13	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	7.6283e-20	1.8369e-41	2.8690e-58	9.6807e-40	5.0000e-01	
3.2408e-13	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	2.4142e-19	8.1140e-40	5.0495e-56	8.3969e-39	5.0000e-01	
4.1869e-13	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	5.4421e-19	8.8246e-39	2.6133e-54	3.5476e-38	5.0000e-01	
5.7574e-13	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	1.4875e-18	2.0590e-37	4.3914e-52	2.2523e-37	5.0000e-01	
7.3278e-13	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	2.9625e-18	7.6487e-37	3.2067e-51	5.9923e-37	5.0000e-01	
8.8983e-13	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	5.3795e-18	3.6148e-36	2.3996e-50	1.6708e-36	5.0000e-01	
1.1363e-12	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	1.1256e-17	2.0349e-35	2.3716e-49	5.4890e-36	5.0000e-01	
1.6712e-12	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	3.6408e-17	8.5927e-34	5.3248e-47	4.3398e-35	5.0000e-01	
2.2060e-12	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	8.4795e-17	3.2903e-33	4.1208e-46	1.3817e-34	5.0000e-01	
2.7409e-12	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	1.6564e-16	1.9654e-32	3.4237e-45	4.3275e-34	5.0000e-01	
3.2757e-12	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5000e-01	2.8782e-16	7.9093e-32	2.5247e-44	1.0724e-33	5.0000e-01	
4.0789e-12	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5001e-01	5.7052e-16	4.8459e-31	4.2849e-43	3.2769e-33	5.0000e-01	
4.8821e-12	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5001e-01	1.0006e-15	1.4914e-30	1.8541e-42	7.5928e-33	5.0000e-01	
5.6853e-12	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5001e-01	1.6183e-15	4.7528e-30	9.2673e-42	1.6133e-32	4.9999e-01	
6.4886e-12	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5001e-01	2.4612e-15	1.2572e-29	3.7098e-41	3.0739e-32	4.9999e-01	
7.8166e-12	1.0732e+03	1.0000e+05	2.5240e-01	2.5000e-01	2.5001e-01	4.4602e-15	4.6356e-29	2.2051e-40	7.5324e-32	4.9999e-01	
