         t	         T	      (NI)	     H(NI)	     O(NI)	   CH4(NI)	   H2O(NI)	   CO2(NI)	    CO(NI)	    OH(NI)	     C(NI)	   HCO(NI)	    CH(NI)	   CH3(NI)	   CH2(NI)	
0.0000e+00	1.0732e+03	6.0000e-01	0.0000e+00	0.0000e+00	0.0000e+00	4.0000e-01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	
6.6941e-16	1.0732e+03	6.0000e-01	3.3170e-08	0.0000e+00	1.0070e-10	4.0000e-01	0.0000e+00	0.0000e+00	3.3170e-08	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	4.6583e-20	
3.5140e-15	1.0732e+03	6.0001e-01	1.7415e-07	2.5760e-11	3.8046e-10	3.9999e-01	0.0000e+00	2.5729e-44	1.7410e-07	1.5650e-24	1.0506e-42	7.6562e-22	1.0501e-14	2.4240e-18	
8.7886e-15	1.0732e+03	6.0001e-01	4.3556e-07	7.1475e-11	9.1412e-10	3.9999e-01	2.7592e-64	4.2397e-41	4.3542e-07	4.4650e-24	8.5636e-40	2.1811e-21	2.8917e-14	6.8621e-18	
1.4063e-14	1.0732e+03	6.0002e-01	6.9709e-07	2.3992e-10	9.7140e-10	3.9998e-01	1.4662e-60	4.4099e-40	6.9661e-07	4.0308e-23	8.2534e-39	1.5029e-20	8.1091e-14	3.2913e-17	
2.5152e-14	1.0732e+03	6.0004e-01	1.2471e-06	7.9931e-10	1.1714e-09	3.9996e-01	6.9944e-57	2.8620e-37	1.2455e-06	9.5066e-22	2.8231e-36	1.6145e-19	1.8506e-13	1.6219e-16	
3.6242e-14	1.0732e+03	6.0006e-01	1.7974e-06	1.6361e-09	9.4161e-10	3.9994e-01	2.6017e-55	2.1081e-36	1.7942e-06	2.6423e-21	1.4967e-35	4.1868e-19	3.1945e-13	3.6861e-16	
4.7331e-14	1.0732e+03	6.0008e-01	2.3480e-06	2.7805e-09	1.0585e-09	3.9992e-01	4.0089e-54	1.3211e-35	2.3425e-06	9.1952e-21	8.3367e-35	1.0907e-18	4.2913e-13	6.9641e-16	
5.8420e-14	1.0732e+03	6.0009e-01	2.8989e-06	4.2259e-09	1.1291e-09	3.9990e-01	4.3195e-53	7.4219e-35	2.8905e-06	2.3201e-20	3.7799e-34	2.2265e-18	5.4201e-13	1.1260e-15	
8.0328e-14	1.0732e+03	6.0013e-01	3.9881e-06	7.9693e-09	1.1418e-09	3.9986e-01	7.0509e-52	5.1553e-34	3.9722e-06	7.7970e-20	2.1313e-33	5.9378e-18	7.7370e-13	2.2750e-15	
1.3486e-13	1.0732e+03	6.0021e-01	6.7043e-06	2.2412e-08	1.2174e-09	3.9977e-01	2.3995e-50	8.7893e-33	6.6595e-06	5.2772e-19	2.6297e-32	2.7532e-17	1.3457e-12	6.8983e-15	
2.2947e-13	1.0732e+03	6.0036e-01	1.1433e-05	6.4772e-08	1.2847e-09	3.9961e-01	1.8772e-48	3.0342e-31	1.1304e-05	4.7682e-18	5.1016e-31	1.3960e-16	2.3369e-12	2.0821e-14	
3.2408e-13	1.0732e+03	6.0051e-01	1.6184e-05	1.2895e-07	1.2060e-09	3.9945e-01	1.9105e-46	7.7034e-30	1.5926e-05	2.6085e-17	6.7679e-30	4.4592e-16	3.3316e-12	4.2045e-14	
4.1869e-13	1.0732e+03	6.0066e-01	2.0955e-05	2.1486e-07	1.1651e-09	3.9929e-01	9.7017e-45	7.5700e-29	2.0525e-05	7.8364e-17	4.2931e-29	9.9646e-16	4.3165e-12	7.0472e-14	
5.7574e-13	1.0732e+03	6.0091e-01	2.8921e-05	4.0513e-07	1.1637e-09	3.9903e-01	1.1444e-42	1.2232e-27	2.8111e-05	3.0470e-16	3.8974e-28	2.6354e-15	5.9313e-12	1.3313e-13	
7.3278e-13	1.0732e+03	6.0116e-01	3.6945e-05	6.5492e-07	1.1657e-09	3.9876e-01	8.5682e-42	4.4400e-27	3.5635e-05	7.0068e-16	1.1776e-27	5.1466e-15	7.5268e-12	2.1516e-13	
8.8983e-13	1.0732e+03	6.0141e-01	4.5025e-05	9.6329e-07	1.1656e-09	3.9850e-01	5.2299e-41	1.7234e-26	4.3098e-05	1.5152e-15	3.6041e-27	9.0248e-15	9.1037e-12	3.1532e-13	
1.1363e-12	1.0732e+03	6.0180e-01	5.7820e-05	1.5650e-06	1.1654e-09	3.9809e-01	4.9461e-40	8.5174e-26	5.4690e-05	3.8256e-15	1.3308e-26	1.7955e-14	1.1541e-11	5.0860e-13	
1.6712e-12	1.0732e+03	6.0264e-01	8.6057e-05	3.3576e-06	1.1671e-09	3.9719e-01	4.3020e-38	1.7088e-24	7.9341e-05	1.6766e-14	1.1038e-25	5.0909e-14	1.6676e-11	1.0705e-12	
2.2060e-12	1.0732e+03	6.0348e-01	1.1492e-04	5.8031e-06	1.1679e-09	3.9629e-01	3.3395e-37	6.3190e-24	1.0332e-04	4.5196e-14	3.4496e-25	1.0837e-13	2.1606e-11	1.8098e-12	
2.7409e-12	1.0732e+03	6.0432e-01	1.4440e-04	8.8860e-06	1.1701e-09	3.9540e-01	2.2371e-36	3.0122e-23	1.2663e-04	1.0103e-13	1.1097e-24	1.8663e-13	2.6338e-11	2.7106e-12	
3.2757e-12	1.0732e+03	6.0516e-01	1.7448e-04	1.2590e-05	1.1720e-09	3.9450e-01	1.6458e-35	1.0466e-22	1.4930e-04	1.9209e-13	2.6040e-24	2.8788e-13	3.0880e-11	3.7549e-12	
