         z	         T	         p	         u	       rho	        H2	         H	         O	        O2	        OH	       H2O	       HO2	      H2O2	         C	        CH	       CH2	    CH2(S)	       CH3	       CH4	        CO	       CO2	       HCO	      CH2O	     CH2OH	      CH3O	     CH3OH	       C2H	      C2H2	      C2H3	      C2H4	      C2H5	      C2H6	      HCCO	     CH2CO	     HCCOH	         N	        NH	       NH2	       NH3	       NNH	        NO	       NO2	       N2O	       HNO	        CN	       HCN	      H2CN	      HCNN	      HCNO	      HOCN	      HNCO	       NCO	        N2	        AR	      C3H7	      C3H8	    CH2CHO	    CH3CHO	
0.0000e+00	1.0732e+03	1.0000e+05	1.0000e-01	3.0275e-01	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.5000e-01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.5000e-01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	
2.4925e-10	1.0732e+03	1.0000e+05	1.0000e-01	3.0275e-01	0.0000e+00	1.6969e-14	6.8278e-17	5.0000e-01	0.0000e+00	0.0000e+00	9.7106e-13	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	9.8803e-13	2.5000e-01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.1272e-22	0.0000e+00	0.0000e+00	5.4719e-22	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.5000e-01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	
2.6623e-08	1.0732e+03	1.0000e+05	1.0000e-01	3.0275e-01	8.6138e-15	3.7107e-12	1.1587e-14	5.0000e-01	4.5606e-15	5.2092e-17	1.0181e-10	1.1048e-16	6.6003e-40	1.3657e-26	1.2716e-26	1.7703e-26	1.0554e-10	2.5000e-01	3.6574e-25	5.0981e-28	2.1660e-24	2.4996e-16	3.8434e-29	3.0933e-17	6.3933e-21	9.5866e-60	3.1977e-41	1.0681e-38	6.7283e-27	2.7685e-25	2.7742e-28	6.4434e-57	1.1214e-41	2.6295e-62	3.5782e-30	1.5352e-35	1.9778e-57	0.0000e+00	5.7595e-21	3.6130e-30	2.0422e-41	5.8522e-20	4.8290e-39	1.1511e-49	1.0993e-32	6.0391e-42	3.5207e-35	0.0000e+00	0.0000e+00	0.0000e+00	1.6262e-50	2.5000e-01	0.0000e+00	4.6180e-42	1.3874e-43	3.9519e-40	5.7873e-41	
7.2419e-08	1.0732e+03	1.0000e+05	1.0000e-01	3.0275e-01	3.4144e-11	1.3894e-10	1.1653e-11	5.0000e-01	1.0257e-11	1.2397e-11	9.6890e-11	1.1284e-14	1.5307e-36	7.5827e-26	3.1346e-23	2.2769e-23	3.3892e-10	2.5000e-01	9.6943e-20	1.3298e-22	5.6222e-21	9.4209e-14	6.3903e-25	1.6873e-15	3.6912e-17	5.0379e-53	2.9200e-35	8.6720e-35	2.3970e-21	6.2270e-21	1.0414e-23	3.2856e-48	2.3171e-34	5.7501e-53	2.2777e-25	3.2255e-30	4.5572e-49	3.6370e-71	2.3885e-22	5.3635e-25	3.1953e-34	1.6665e-19	8.8557e-33	2.3101e-45	6.4776e-30	9.3926e-36	1.2282e-33	2.0871e-54	1.1991e-48	6.2720e-49	2.6219e-44	2.5000e-01	0.0000e+00	9.4379e-37	3.3456e-37	7.7168e-35	1.4056e-34	
1.5873e-07	1.0732e+03	1.0000e+05	1.0000e-01	3.0275e-01	1.7468e-10	2.8457e-10	4.3529e-11	5.0000e-01	3.6369e-11	9.5684e-11	8.2507e-11	3.3894e-14	2.2745e-34	2.1158e-25	1.0308e-20	1.1153e-20	9.4280e-10	2.5000e-01	4.4186e-18	7.6144e-20	3.7374e-20	6.0534e-13	5.7346e-22	5.2381e-15	2.5655e-16	7.8536e-48	6.9780e-32	1.2679e-31	6.8506e-20	9.7005e-20	2.1717e-22	1.3990e-43	1.3636e-30	4.0143e-47	1.3021e-24	2.4206e-29	2.4045e-41	4.3539e-59	1.7629e-22	4.8471e-24	7.5011e-33	3.7157e-19	6.9210e-32	1.7476e-42	4.1478e-29	1.0272e-32	3.6130e-33	1.0088e-45	2.9088e-42	1.5263e-42	2.5384e-40	2.5000e-01	0.0000e+00	9.6499e-34	5.7532e-34	2.6146e-31	1.1775e-28	
2.4503e-07	1.0732e+03	1.0000e+05	1.0000e-01	3.0275e-01	4.0921e-10	2.9177e-10	6.3526e-11	5.0000e-01	5.1043e-11	2.9756e-10	6.5627e-11	5.7993e-14	8.4261e-34	4.0823e-25	6.6106e-20	7.0044e-20	1.8176e-09	2.5000e-01	5.2030e-17	9.9387e-19	1.4267e-19	2.2747e-12	3.7846e-21	1.0337e-14	9.9632e-16	4.3981e-44	6.8178e-30	6.5164e-30	9.7716e-19	7.2232e-19	2.4395e-21	1.2505e-39	1.7503e-28	4.4913e-43	2.5236e-24	6.4454e-29	1.1665e-39	1.2930e-50	1.7170e-22	1.7257e-23	5.9706e-32	5.7775e-19	1.8818e-31	1.9759e-41	1.5682e-28	1.1828e-31	7.3074e-33	4.7248e-42	8.7303e-41	6.8267e-41	7.7027e-39	2.5000e-01	0.0000e+00	2.9019e-32	3.2433e-32	1.7675e-29	8.9937e-27	
4.1433e-07	1.0732e+03	1.0000e+05	1.0000e-01	3.0275e-01	8.3446e-10	3.2537e-10	8.5462e-11	5.0000e-01	6.7305e-11	6.8946e-10	6.5382e-11	1.0251e-13	1.6338e-33	7.8517e-25	2.1016e-19	2.2043e-19	3.4937e-09	2.5000e-01	2.2909e-16	4.3765e-18	4.0949e-19	6.4692e-12	1.2126e-20	2.0083e-14	2.8657e-15	8.7468e-42	1.7823e-28	1.6242e-28	6.1526e-18	3.7501e-18	1.4566e-20	2.4814e-37	5.1457e-27	9.1092e-41	3.9366e-24	1.2991e-28	1.0902e-38	1.8138e-48	1.7735e-22	4.2580e-23	2.3423e-31	9.8048e-19	3.8236e-31	1.2344e-40	4.5083e-28	5.6622e-31	1.4628e-32	1.6037e-40	7.2220e-40	1.1450e-39	6.5265e-38	2.5000e-01	0.0000e+00	5.9445e-31	6.9987e-31	4.9734e-28	1.4859e-25	
6.8879e-07	1.0732e+03	1.0000e+05	1.0000e-01	3.0275e-01	1.5705e-09	3.1145e-10	8.7456e-11	5.0000e-01	6.8648e-11	1.4371e-09	6.4115e-11	1.7374e-13	3.3026e-33	1.4438e-24	4.7943e-19	4.9501e-19	6.4214e-09	2.5000e-01	1.0298e-15	1.9023e-17	1.2832e-18	2.0207e-11	2.7386e-20	3.7183e-14	9.0397e-15	2.6355e-40	2.5218e-27	1.1186e-27	4.6417e-17	1.5376e-17	9.7034e-20	7.5293e-36	7.8555e-26	5.4477e-39	4.3639e-24	2.0545e-28	7.6232e-38	5.3991e-47	1.7460e-22	9.3557e-23	9.3446e-31	1.6340e-18	6.0788e-31	3.8868e-40	1.4287e-27	1.5070e-30	2.7558e-32	2.1963e-39	4.7354e-39	1.2984e-38	4.3462e-37	2.5000e-01	0.0000e+00	5.2258e-30	1.2085e-29	3.7007e-27	1.8001e-24	
1.2216e-06	1.0732e+03	1.0000e+05	1.0000e-01	3.0275e-01	2.9906e-09	2.9809e-10	8.3487e-11	5.0000e-01	6.6553e-11	2.9108e-09	6.3412e-11	3.0707e-13	6.5104e-33	2.7220e-24	8.9014e-19	8.9748e-19	1.2104e-08	2.5000e-01	3.9988e-15	6.8338e-17	4.1813e-18	6.5655e-11	4.9505e-20	7.0379e-14	2.9545e-14	4.1492e-39	3.6943e-26	1.0021e-26	3.1968e-16	6.1908e-17	6.2449e-19	1.2402e-34	1.1416e-24	1.4443e-37	4.2281e-24	2.6964e-28	4.1599e-37	1.1703e-45	1.7212e-22	1.9426e-22	3.5051e-30	2.9024e-18	8.0020e-31	1.3255e-39	4.6742e-27	2.9802e-30	5.1937e-32	2.0235e-38	2.8212e-38	1.1156e-37	2.5932e-36	2.5000e-01	0.0000e+00	4.3172e-29	1.6702e-28	3.2590e-26	1.4053e-23	
2.2824e-06	1.0732e+03	1.0000e+05	1.0000e-01	3.0275e-01	5.8243e-09	2.8558e-10	7.6352e-11	5.0000e-01	6.3505e-11	6.0569e-09	6.2816e-11	5.2708e-13	1.3367e-32	5.2740e-24	1.7900e-18	1.6740e-18	2.3452e-08	2.5000e-01	3.4136e-14	4.0946e-16	2.3193e-17	3.6323e-10	9.0121e-20	1.3667e-13	1.6434e-13	3.0446e-37	3.3809e-24	2.5063e-25	6.8030e-15	3.8290e-16	1.2359e-17	8.3056e-33	8.5170e-23	3.9657e-35	3.6936e-24	2.4637e-28	3.4475e-36	1.4306e-43	1.6981e-22	3.9874e-22	1.9817e-29	5.4281e-18	7.3126e-31	6.2885e-39	2.5810e-26	4.8970e-30	1.0111e-31	4.2721e-37	4.5077e-37	2.2795e-36	3.9363e-35	2.5000e-01	0.0000e+00	9.2916e-28	1.3122e-26	6.5947e-25	2.8834e-22	
