         z	         T	         p	         u	       rho	        H2	        O2	       H2O	         H	         O	        OH	       HO2	      H2O2	        N2	
0.0000e+00	1.0732e+03	1.0000e+05	1.0000e-01	2.5228e-01	2.5000e-01	2.5000e-01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	
5.7712e-11	1.0732e+03	1.0000e+05	1.0000e-01	2.5228e-01	2.5000e-01	2.5000e-01	0.0000e+00	1.1219e-13	6.7856e-22	2.5574e-12	1.1219e-13	0.0000e+00	5.0000e-01	
6.4999e-09	1.0732e+03	1.0000e+05	1.0000e-01	2.5228e-01	2.5000e-01	2.5000e-01	7.2719e-11	8.7106e-11	1.1182e-12	2.1653e-10	9.7675e-12	6.1900e-17	5.0000e-01	
1.8860e-08	1.0732e+03	1.0000e+05	1.0000e-01	2.5228e-01	2.5000e-01	2.5000e-01	2.1225e-10	2.5402e-10	3.2637e-12	6.2714e-10	2.8293e-11	1.8065e-16	5.0000e-01	
3.1220e-08	1.0732e+03	1.0000e+05	1.0000e-01	2.5228e-01	2.5000e-01	2.5000e-01	7.0265e-10	7.7216e-10	1.6752e-11	6.9998e-10	3.5131e-11	6.2064e-16	5.0000e-01	
6.8117e-08	1.0732e+03	1.0000e+05	1.0000e-01	2.5228e-01	2.5000e-01	2.5000e-01	2.2180e-09	2.2957e-09	1.1982e-10	9.7452e-10	6.7425e-11	2.5055e-15	5.0000e-01	
1.0501e-07	1.0732e+03	1.0000e+05	1.0000e-01	2.5228e-01	2.5000e-01	2.5000e-01	4.4632e-09	4.4839e-09	3.0064e-10	6.4737e-10	8.7041e-11	5.5424e-15	5.0000e-01	
1.4191e-07	1.0732e+03	1.0000e+05	1.0000e-01	2.5228e-01	2.5000e-01	2.5000e-01	6.3215e-09	6.1776e-09	5.6400e-10	9.6986e-10	1.3159e-10	9.7146e-15	5.0000e-01	
1.7881e-07	1.0732e+03	1.0000e+05	1.0000e-01	2.5228e-01	2.5000e-01	2.5000e-01	8.5020e-09	8.1383e-09	8.8500e-10	1.2175e-09	1.7378e-10	1.5307e-14	5.0000e-01	
2.5064e-07	1.0732e+03	1.0000e+05	1.0000e-01	2.5228e-01	2.5000e-01	2.5000e-01	1.3805e-08	1.2849e-08	1.6686e-09	1.5532e-09	2.6170e-10	3.0971e-14	5.0000e-01	
3.2247e-07	1.0732e+03	1.0000e+05	1.0000e-01	2.5228e-01	2.5000e-01	2.5000e-01	2.0118e-08	1.8318e-08	2.6897e-09	1.9511e-09	3.6456e-10	5.2366e-14	5.0000e-01	
3.9429e-07	1.0732e+03	1.0000e+05	1.0000e-01	2.5228e-01	2.5000e-01	2.5000e-01	2.8275e-08	2.5366e-08	3.9478e-09	2.3995e-09	4.9399e-10	8.2970e-14	5.0000e-01	
5.0519e-07	1.0732e+03	1.0000e+05	1.0000e-01	2.5228e-01	2.5000e-01	2.5000e-01	4.4397e-08	3.9151e-08	6.4627e-09	3.3080e-09	7.4902e-10	1.4899e-13	5.0000e-01	
6.1608e-07	1.0732e+03	1.0000e+05	1.0000e-01	2.5228e-01	2.5000e-01	2.5000e-01	6.8047e-08	5.9219e-08	1.0107e-08	4.6412e-09	1.1212e-09	2.5439e-13	5.0000e-01	
7.2697e-07	1.0732e+03	1.0000e+05	1.0000e-01	2.5228e-01	2.5000e-01	2.5000e-01	9.9497e-08	8.5778e-08	1.4936e-08	6.4388e-09	1.6130e-09	4.0032e-13	5.0000e-01	
8.3787e-07	1.0732e+03	1.0000e+05	1.0000e-01	2.5228e-01	2.5000e-01	2.5000e-01	1.4329e-07	1.2260e-07	2.1660e-08	8.8552e-09	2.2954e-09	6.1091e-13	5.0000e-01	
9.4876e-07	1.0732e+03	1.0000e+05	1.0000e-01	2.5228e-01	2.5000e-01	2.5000e-01	2.0393e-07	1.7344e-07	3.0949e-08	1.2284e-08	3.2372e-09	9.0985e-13	5.0000e-01	
1.0597e-06	1.0732e+03	1.0000e+05	1.0000e-01	2.5228e-01	2.5000e-01	2.5000e-01	2.8957e-07	2.4512e-07	4.4022e-08	1.7059e-08	4.5647e-09	1.3392e-12	5.0000e-01	
1.1705e-06	1.0732e+03	1.0000e+05	1.0000e-01	2.5228e-01	2.5000e-01	2.5000e-01	4.0678e-07	3.4308e-07	6.1890e-08	2.3605e-08	6.3790e-09	1.9334e-12	5.0000e-01	
1.2387e-06	1.0732e+03	1.0000e+05	1.0000e-01	2.5228e-01	2.5000e-01	2.5000e-01	5.0014e-07	4.2103e-07	7.6108e-08	2.8824e-08	7.8227e-09	2.4101e-12	5.0000e-01	
1.3068e-06	1.0732e+03	1.0000e+05	1.0000e-01	2.5228e-01	2.5000e-01	2.5000e-01	6.1291e-07	5.1515e-07	9.3274e-08	3.5125e-08	9.5657e-09	2.9882e-12	5.0000e-01	
