         z	         T	         p	         u	       rho	       CH4	       H2O	        H2	        CO	       CO2	        O2	        N2	
0.0000e+00	1.0732e+03	1.0000e+05	1.0000e-01	3.2524e-01	2.5000e-01	0.0000e+00	0.0000e+00	0.0000e+00	2.5000e-01	0.0000e+00	5.0000e-01	
8.8802e-15	1.0732e+03	1.0000e+05	1.0000e-01	3.2524e-01	2.5000e-01	1.5726e-11	5.9064e-12	3.7358e-11	2.5000e-01	1.5402e-23	5.0000e-01	
8.8811e-11	1.0732e+03	1.0000e+05	1.0000e-01	3.2524e-01	2.5000e-01	1.5744e-07	5.9002e-08	3.7387e-07	2.5000e-01	1.5355e-19	5.0000e-01	
1.7761e-10	1.0732e+03	1.0000e+05	1.0000e-01	3.2524e-01	2.5000e-01	3.1502e-07	1.1793e-07	7.4797e-07	2.5000e-01	3.0660e-19	5.0000e-01	
2.6641e-10	1.0732e+03	1.0000e+05	1.0000e-01	3.2524e-01	2.5000e-01	4.7261e-07	1.7685e-07	1.1221e-06	2.5000e-01	4.5966e-19	5.0000e-01	
4.0231e-10	1.0732e+03	1.0000e+05	1.0000e-01	3.2524e-01	2.5000e-01	7.1443e-07	2.6675e-07	1.6956e-06	2.5000e-01	6.9189e-19	5.0000e-01	
5.3820e-10	1.0732e+03	1.0000e+05	1.0000e-01	3.2524e-01	2.5000e-01	9.5634e-07	3.5660e-07	2.2693e-06	2.5000e-01	9.2388e-19	5.0000e-01	
6.7409e-10	1.0732e+03	1.0000e+05	1.0000e-01	3.2524e-01	2.5000e-01	1.1987e-06	4.4623e-07	2.8437e-06	2.5000e-01	1.1544e-18	5.0000e-01	
9.1535e-10	1.0732e+03	1.0000e+05	1.0000e-01	3.2524e-01	2.5000e-01	1.6299e-06	6.0499e-07	3.8648e-06	2.5000e-01	1.5611e-18	5.0000e-01	
1.3854e-09	1.0732e+03	1.0000e+05	1.0000e-01	3.2524e-01	2.5000e-01	2.4733e-06	9.1282e-07	5.8595e-06	2.4999e-01	2.3437e-18	5.0000e-01	
2.5737e-09	1.0732e+03	1.0000e+05	1.0000e-01	3.2524e-01	2.5000e-01	4.6244e-06	1.6824e-06	1.0931e-05	2.4999e-01	4.2654e-18	5.0000e-01	
