         z	         T	      (NI)	     H(NI)	     O(NI)	   CH4(NI)	   H2O(NI)	   CO2(NI)	    CO(NI)	    OH(NI)	     C(NI)	   HCO(NI)	    CH(NI)	   CH3(NI)	   CH2(NI)	
0.0000e+00	1.0732e+03	8.9517e-01	2.1543e-03	1.0249e-01	1.7333e-09	2.2731e-08	3.4120e-06	1.6186e-04	6.7900e-06	7.3130e-06	1.8236e-17	5.9645e-11	5.3919e-10	3.8717e-10	
8.8802e-15	1.0732e+03	8.9517e-01	2.1543e-03	1.0249e-01	1.7333e-09	2.2731e-08	3.4120e-06	1.6186e-04	6.7900e-06	7.3130e-06	1.8236e-17	5.9645e-11	5.3919e-10	3.8717e-10	
8.8811e-11	1.0732e+03	8.9525e-01	2.1566e-03	1.0241e-01	1.7334e-09	2.3147e-08	3.4132e-06	1.7344e-04	6.7908e-06	7.3162e-06	1.9281e-17	5.9614e-11	5.3892e-10	3.8698e-10	
1.7761e-10	1.0732e+03	8.9532e-01	2.1589e-03	1.0232e-01	1.7335e-09	2.3563e-08	3.4145e-06	1.8502e-04	6.7915e-06	7.3193e-06	2.0328e-17	5.9584e-11	5.3865e-10	3.8678e-10	
2.6641e-10	1.0732e+03	8.9540e-01	2.1612e-03	1.0223e-01	1.7337e-09	2.3979e-08	3.4157e-06	1.9660e-04	6.7923e-06	7.3225e-06	2.1378e-17	5.9554e-11	5.3838e-10	3.8658e-10	
4.0231e-10	1.0732e+03	8.9551e-01	2.1647e-03	1.0209e-01	1.7339e-09	2.4617e-08	3.4175e-06	2.1436e-04	6.7935e-06	7.3274e-06	2.2992e-17	5.9508e-11	5.3797e-10	3.8629e-10	
5.3820e-10	1.0732e+03	8.9562e-01	2.1682e-03	1.0196e-01	1.7341e-09	2.5256e-08	3.4194e-06	2.3212e-04	6.7946e-06	7.3322e-06	2.4612e-17	5.9461e-11	5.3756e-10	3.8599e-10	
6.7409e-10	1.0732e+03	8.9574e-01	2.1717e-03	1.0183e-01	1.7343e-09	2.5896e-08	3.4212e-06	2.4991e-04	6.7958e-06	7.3370e-06	2.6238e-17	5.9416e-11	5.3715e-10	3.8569e-10	
9.1535e-10	1.0732e+03	8.9593e-01	2.1779e-03	1.0159e-01	1.7347e-09	2.7034e-08	3.4245e-06	2.8153e-04	6.7979e-06	7.3456e-06	2.9143e-17	5.9334e-11	5.3643e-10	3.8517e-10	
1.3854e-09	1.0732e+03	8.9632e-01	2.1899e-03	1.0113e-01	1.7355e-09	2.9262e-08	3.4309e-06	3.4331e-04	6.8020e-06	7.3622e-06	3.4863e-17	5.9178e-11	5.3503e-10	3.8415e-10	
2.5737e-09	1.0732e+03	8.9726e-01	2.2204e-03	1.0001e-01	1.7373e-09	3.4949e-08	3.4469e-06	5.0042e-04	6.8124e-06	7.4038e-06	4.9684e-17	5.8790e-11	5.3158e-10	3.8165e-10	
3.7619e-09	1.0732e+03	8.9816e-01	2.2506e-03	9.8913e-02	1.7390e-09	4.0713e-08	3.4626e-06	6.5885e-04	6.8230e-06	7.4447e-06	6.5021e-17	5.8415e-11	5.2824e-10	3.7922e-10	
4.4156e-09	1.0732e+03	8.9864e-01	2.2672e-03	9.8327e-02	1.7399e-09	4.3915e-08	3.4711e-06	7.4654e-04	6.8289e-06	7.4670e-06	7.3677e-17	5.8213e-11	5.2645e-10	3.7792e-10	
5.0692e-09	1.0732e+03	8.9911e-01	2.2838e-03	9.7751e-02	1.7408e-09	4.7139e-08	3.4796e-06	8.3461e-04	6.8349e-06	7.4891e-06	8.2488e-17	5.8015e-11	5.2469e-10	3.7664e-10	
5.7229e-09	1.0732e+03	8.9957e-01	2.3003e-03	9.7186e-02	1.7417e-09	5.0385e-08	3.4881e-06	9.2301e-04	6.8409e-06	7.5110e-06	9.1452e-17	5.7821e-11	5.2296e-10	3.7538e-10	
7.0779e-09	1.0732e+03	9.0049e-01	2.3343e-03	9.6046e-02	1.7435e-09	5.7178e-08	3.5054e-06	1.1074e-03	6.8536e-06	7.5558e-06	1.1052e-16	5.7428e-11	5.1946e-10	3.7284e-10	
8.4329e-09	1.0732e+03	9.0137e-01	2.3680e-03	9.4948e-02	1.7452e-09	6.4058e-08	3.5225e-06	1.2931e-03	6.8666e-06	7.5998e-06	1.3024e-16	5.7050e-11	5.1610e-10	3.7040e-10	
9.7879e-09	1.0732e+03	9.0221e-01	2.4016e-03	9.3891e-02	1.7468e-09	7.1021e-08	3.5393e-06	1.4801e-03	6.8798e-06	7.6428e-06	1.5061e-16	5.6685e-11	5.1286e-10	3.6804e-10	
1.1143e-08	1.0732e+03	9.0301e-01	2.4348e-03	9.2873e-02	1.7483e-09	7.8060e-08	3.5559e-06	1.6682e-03	6.8933e-06	7.6850e-06	1.7161e-16	5.6334e-11	5.0974e-10	3.6577e-10	
